subject_id,data.no,data.yes
72333809,22.0,0.0
72333810,19.0,2.0
72333811,20.0,1.0
72333812,19.0,2.0
72333813,20.0,1.0
72333814,20.0,1.0
72333815,19.0,2.0
72333816,20.0,1.0
72333817,19.0,2.0
72333818,21.0,0.0
72333819,21.0,0.0
72333820,21.0,0.0
72333821,21.0,0.0
72333822,21.0,1.0
72333823,21.0,0.0
72333824,19.0,3.0
72333825,21.0,0.0
72333826,21.0,0.0
72333827,19.0,2.0
72333828,22.0,0.0
72333829,21.0,0.0
72333830,20.0,1.0
72333831,21.0,0.0
72333832,20.0,1.0
72333833,21.0,1.0
72333834,23.0,0.0
72333835,10.0,12.0
72333836,20.0,1.0
72333837,20.0,1.0
72333838,22.0,0.0
72333839,22.0,0.0
72333840,21.0,0.0
72333841,22.0,0.0
72333842,22.0,0.0
72333843,22.0,0.0
72333844,22.0,0.0
72333845,22.0,0.0
72333846,22.0,0.0
72333847,21.0,0.0
72333848,20.0,1.0
72333849,21.0,0.0
72333850,22.0,0.0
72333851,20.0,1.0
72333852,7.0,15.0
72333853,22.0,0.0
72333854,10.0,11.0
72333855,20.0,1.0
72333856,20.0,2.0
72333857,21.0,0.0
72333858,21.0,0.0
72333859,21.0,1.0
72333860,21.0,0.0
72333861,22.0,0.0
72333862,21.0,1.0
72333863,20.0,1.0
72333864,21.0,0.0
72333865,20.0,1.0
72333866,21.0,1.0
72333867,21.0,0.0
72333868,20.0,1.0
72333869,20.0,2.0
72333870,22.0,0.0
72333871,21.0,0.0
72333872,21.0,1.0
72333873,23.0,0.0
72333874,18.0,3.0
72333875,22.0,0.0
72333876,22.0,0.0
72333877,21.0,1.0
72333878,21.0,0.0
72333879,22.0,0.0
72333880,21.0,0.0
72333881,21.0,1.0
72333882,22.0,0.0
72333883,21.0,1.0
72333884,21.0,0.0
72333885,21.0,0.0
72333886,23.0,0.0
72333887,22.0,1.0
72333888,16.0,6.0
72333889,21.0,0.0
72333890,21.0,1.0
72333891,19.0,2.0
72333892,22.0,0.0
72333893,21.0,0.0
72333894,19.0,3.0
72333895,21.0,1.0
72333896,21.0,0.0
72333897,20.0,1.0
72333898,21.0,0.0
72333899,21.0,0.0
72333900,21.0,0.0
72333901,20.0,1.0
72333902,20.0,1.0
72333903,21.0,0.0
72333904,22.0,2.0
72333905,20.0,1.0
72333906,22.0,0.0
72333907,22.0,0.0
72333908,22.0,1.0
72333909,23.0,0.0
72333910,21.0,0.0
72333911,14.0,7.0
72333912,21.0,0.0
72333913,22.0,0.0
72333914,21.0,1.0
72333915,21.0,0.0
72333916,21.0,0.0
72333917,21.0,1.0
72333918,20.0,1.0
72333919,21.0,0.0
72333920,22.0,0.0
72333921,21.0,0.0
72333922,22.0,1.0
72333923,20.0,1.0
72333924,21.0,0.0
72333925,21.0,0.0
72333926,21.0,0.0
